Marital status,Course,Daytime/evening attendance,Previous qualification,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Unemployment rate,Inflation rate,GDP,Target,Total Grade,Total Approved,Total Enrolled,Total Evaluations,Target_encoded
1,2,1,1,0,0,1,1,0,20,10.8,1.4,1.74,Dropout,0.0,0,0,0,0
1,11,1,1,0,0,0,1,0,19,13.9,-0.3,0.79,Graduate,27.666666669999998,12,12,12,2
1,5,1,1,0,0,0,1,0,19,10.8,1.4,1.74,Dropout,0.0,0,12,0,0
1,15,1,1,0,0,1,0,0,20,9.4,-0.8,-3.12,Graduate,25.82857143,11,12,18,2
2,3,0,1,0,0,1,0,0,45,13.9,-0.3,0.79,Graduate,25.333333330000002,11,12,15,2
2,17,0,12,0,1,1,1,0,50,16.2,0.3,-0.92,Graduate,23.35714286,10,10,27,2
1,12,1,1,0,0,1,0,1,18,15.5,2.8,-4.06,Graduate,27.645000000000003,15,15,17,2
1,11,1,1,0,0,0,1,0,22,15.5,2.8,-4.06,Dropout,0.0,0,10,10,0
1,10,1,1,0,0,1,0,1,21,16.2,0.3,-0.92,Graduate,28.01785714,12,12,15,2
1,10,1,1,0,1,0,0,0,18,8.9,1.4,3.51,Dropout,24.9,7,12,23,0
1,14,1,1,0,0,1,0,0,18,13.9,-0.3,0.79,Graduate,26.533333329999998,11,12,13,2
1,12,1,1,0,0,1,0,1,18,12.7,3.7,-1.7,Graduate,26.42857142,14,16,16,2
1,16,1,1,0,0,1,0,0,19,12.7,3.7,-1.7,Dropout,0.0,0,12,6,0
1,11,1,16,0,0,1,0,1,21,8.9,1.4,3.51,Graduate,21.571428570000002,11,12,15,2
1,6,1,1,0,0,1,0,1,18,10.8,1.4,1.74,Graduate,25.25,9,10,12,2
1,15,1,1,0,0,1,0,0,20,15.5,2.8,-4.06,Dropout,13.2,5,12,13,0
1,10,1,1,0,0,1,0,0,18,10.8,1.4,1.74,Enrolled,23.0,3,12,24,1
1,12,1,1,0,0,1,0,0,18,15.5,2.8,-4.06,Graduate,27.85125,15,15,16,2
1,8,1,1,0,0,1,0,0,20,10.8,1.4,1.74,Graduate,24.75,8,10,16,2
1,16,1,1,0,0,1,0,0,18,16.2,0.3,-0.92,Enrolled,25.166666669999998,12,14,15,1
1,2,1,1,0,0,1,0,1,21,11.1,0.6,2.02,Graduate,0.0,0,0,0,2
1,13,1,1,0,0,1,0,0,20,12.7,3.7,-1.7,Enrolled,22.8625,15,15,23,1
1,12,1,1,0,0,1,0,0,18,12.7,3.7,-1.7,Graduate,25.71428572,14,16,24,2
1,14,1,1,0,0,1,0,1,19,11.1,0.6,2.02,Graduate,25.66071429,12,12,15,2
1,12,1,1,0,0,1,0,0,19,11.1,0.6,2.02,Graduate,27.41095238,13,15,17,2
1,10,1,1,0,1,1,0,1,18,7.6,2.6,0.32,Enrolled,22.6,9,12,20,1
1,10,1,1,0,0,1,0,0,21,16.2,0.3,-0.92,Graduate,24.66071429,12,12,18,2
1,6,1,1,0,0,1,0,0,18,9.4,-0.8,-3.12,Enrolled,25.666666669999998,9,10,16,1
1,9,1,1,0,0,1,0,0,20,16.2,0.3,-0.92,Graduate,24.333333330000002,10,10,12,2
1,12,1,1,0,0,1,1,0,19,16.2,0.3,-0.92,Enrolled,26.65,12,14,16,1
1,4,1,14,0,0,1,1,0,21,16.2,0.3,-0.92,Enrolled,22.428571429999998,10,12,32,1
1,5,1,1,0,0,1,1,0,20,8.9,1.4,3.51,Graduate,26.23333333,10,12,16,2
1,9,1,1,0,0,0,1,0,18,8.9,1.4,3.51,Enrolled,24.833333330000002,5,10,17,1
1,3,0,1,0,0,1,0,0,19,12.4,0.5,1.79,Graduate,27.041666669999998,12,12,14,2
1,17,0,1,0,0,1,1,0,34,13.9,-0.3,0.79,Graduate,25.82857143,10,10,15,2
1,1,1,1,0,1,0,1,0,37,8.9,1.4,3.51,Dropout,10.0,1,14,14,0
1,7,1,8,0,0,1,1,0,43,7.6,2.6,0.32,Dropout,0.0,0,10,0,0
1,9,1,1,0,0,1,0,0,55,16.2,0.3,-0.92,Dropout,22.0,3,10,18,0
4,17,0,1,0,0,1,0,0,39,7.6,2.6,0.32,Graduate,22.6,10,10,13,2
1,8,1,14,0,1,0,0,0,20,12.4,0.5,1.79,Dropout,23.666666669999998,6,12,24,0
1,15,1,1,0,1,1,0,0,18,12.7,3.7,-1.7,Dropout,12.75,4,11,11,0
1,9,1,1,0,0,1,0,0,22,8.9,1.4,3.51,Graduate,30.6,10,10,10,2
1,12,1,1,1,0,1,0,0,22,11.1,0.6,2.02,Graduate,28.27085714,12,15,18,2
1,15,1,1,0,0,0,0,0,20,12.4,0.5,1.79,Dropout,26.8,9,12,14,0
1,17,0,1,0,0,1,0,0,29,16.2,0.3,-0.92,Dropout,0.0,0,10,0,0
1,17,0,1,0,0,1,0,0,24,7.6,2.6,0.32,Enrolled,25.833333330000002,5,10,20,1
1,10,1,1,0,0,1,0,0,18,11.1,0.6,2.02,Graduate,24.86666667,11,12,14,2
1,12,1,1,0,0,1,0,1,22,11.1,0.6,2.02,Graduate,27.288095239999997,13,15,17,2
1,3,0,14,0,0,1,0,1,21,12.4,0.5,1.79,Graduate,24.78571429,12,12,13,2
1,10,1,1,0,0,1,0,1,19,12.7,3.7,-1.7,Graduate,25.16666666,11,12,14,2
1,11,1,1,0,0,1,0,1,24,12.4,0.5,1.79,Graduate,27.83333334,12,12,12,2
1,12,1,1,0,0,1,0,1,19,9.4,-0.8,-3.12,Enrolled,23.66666666,12,16,20,1
1,15,1,1,0,0,1,0,1,20,9.4,-0.8,-3.12,Enrolled,25.0,7,12,23,1
1,8,1,1,0,0,1,0,0,19,7.6,2.6,0.32,Graduate,30.514285710000003,10,10,12,2
1,17,0,1,0,0,1,0,0,27,9.4,-0.8,-3.12,Dropout,21.6,10,10,22,0
1,12,1,1,0,0,1,0,0,18,15.5,2.8,-4.06,Graduate,26.63944444,15,15,19,2
2,11,1,3,0,0,1,0,0,39,12.4,0.5,1.79,Dropout,0.0,0,12,16,0
1,8,1,15,0,0,1,0,0,27,12.4,0.5,1.79,Dropout,25.9,15,17,22,0
1,12,1,1,0,0,1,0,0,18,9.4,-0.8,-3.12,Graduate,29.87,16,16,16,2
1,2,1,1,0,0,1,0,0,18,7.6,2.6,0.32,Enrolled,0.0,0,0,0,1
1,12,1,1,0,0,1,0,0,18,16.2,0.3,-0.92,Graduate,25.3547619,13,15,20,2
1,10,1,14,0,0,1,0,1,21,13.9,-0.3,0.79,Graduate,24.0,12,12,14,2
1,2,1,1,0,0,1,1,1,19,10.8,1.4,1.74,Enrolled,0.0,0,0,0,1
1,5,1,1,0,0,1,1,0,19,10.8,1.4,1.74,Enrolled,21.4,6,12,14,1
1,5,1,1,0,0,1,1,0,24,12.7,3.7,-1.7,Enrolled,0.0,0,12,12,1
4,12,1,12,0,0,1,1,0,29,13.9,-0.3,0.79,Dropout,22.9,10,15,20,0
1,2,1,1,0,0,1,1,1,19,10.8,1.4,1.74,Graduate,0.0,0,0,0,2
1,4,1,14,0,0,1,1,0,23,8.9,1.4,3.51,Graduate,25.0,12,12,15,2
1,9,1,1,0,1,1,1,0,19,16.2,0.3,-0.92,Dropout,21.95,9,10,18,0
1,11,1,1,0,0,1,1,0,26,12.7,3.7,-1.7,Enrolled,22.8,11,12,15,1
1,9,1,1,0,0,1,1,0,18,7.6,2.6,0.32,Enrolled,0.0,0,10,14,1
1,12,1,1,0,0,1,1,0,24,13.9,-0.3,0.79,Graduate,25.725,15,15,16,2
1,2,1,1,0,0,1,1,0,19,15.5,2.8,-4.06,Dropout,0.0,0,0,0,0
1,11,1,1,0,0,1,1,0,18,12.4,0.5,1.79,Dropout,23.666666669999998,4,12,24,0
1,15,1,1,0,0,1,1,0,18,10.8,1.4,1.74,Graduate,24.66666666,9,12,19,2
1,9,1,1,0,1,1,1,0,18,10.8,1.4,1.74,Dropout,21.19047619,6,10,19,0
1,11,1,1,0,0,1,1,1,21,9.4,-0.8,-3.12,Dropout,21.5,5,12,19,0
1,15,1,1,0,1,1,1,1,19,8.9,1.4,3.51,Graduate,27.0,12,12,12,2
1,12,1,1,0,0,1,1,1,22,16.2,0.3,-0.92,Graduate,29.8984127,15,15,16,2
2,3,0,1,0,0,1,1,0,33,10.8,1.4,1.74,Graduate,23.666666669999998,12,12,14,2
1,16,1,1,0,0,1,1,0,20,10.8,1.4,1.74,Dropout,24.4,10,12,15,0
1,17,0,2,0,0,1,1,0,35,10.8,1.4,1.74,Dropout,0.0,0,6,1,0
1,4,1,4,0,1,1,1,0,24,12.4,0.5,1.79,Dropout,25.466666670000002,16,24,31,0
1,11,1,1,0,0,1,1,0,18,12.7,3.7,-1.7,Enrolled,23.333333330000002,8,10,14,1
2,3,0,1,0,0,1,0,0,33,9.4,-0.8,-3.12,Graduate,22.0,11,12,18,2
1,12,1,1,0,0,1,0,1,22,10.8,1.4,1.74,Graduate,26.16,14,16,16,2
1,14,1,1,0,0,1,0,1,25,9.4,-0.8,-3.12,Graduate,22.1,9,10,14,2
1,5,1,1,0,0,1,1,0,20,7.6,2.6,0.32,Graduate,21.86666667,11,12,15,2
1,9,1,1,0,0,1,1,0,23,11.1,0.6,2.02,Enrolled,27.8,9,10,11,1
1,7,1,1,0,1,1,1,0,18,15.5,2.8,-4.06,Enrolled,10.0,2,10,18,1
1,12,1,1,0,0,1,1,0,24,13.9,-0.3,0.79,Dropout,0.0,0,14,25,0
1,15,1,1,0,0,0,0,0,21,8.9,1.4,3.51,Graduate,27.5,12,12,12,2
1,8,1,1,0,0,1,0,0,26,8.9,1.4,3.51,Dropout,12.0,2,12,13,0
